id	date	time of day	location	tree_sp	dbh	canopy_overlapping	mist_number	total_vines	Coccinia	Momordica	Passiflora foetida	Passiflora suberosa	total_seedling spp	total_seedlings	Aglaia	Carica 	Ficus	Macaranga	Melanolepis	Morinda	Phyllanthus	Pipturus	Premna	Schefflera	Tabernaemontana	Triphasia	Vitex	UNID4	UNID9	observers	Comments 
afb1	5-Nov-17		aafb	Casuarina	106	n	0	3	1		1	1	0	0																"HSP, MRK"	
afb100	26-Nov-17	17:12	aafb	Vitex	29	n	1	1				1	0	0																"HSP, MRK"	Vitex just at 7m cutoff
afb101	26-Nov-17	17:01	aafb	Calophyllum	95	n	2	3	1		1	1	1	5													3		2	"HSP, MRK"	"UNID9; Premna look-alike, but leaves more drip-tip-like; took photo"
afb102	26-Nov-17	17:04	aafb	Casuarina	93	y	1	2	1			1	2	3						2			1							"HSP, MRK"	row of 5 Casuarina; 2nd closest from Ponape
afb103	26-Nov-17	16:57	aafb	Calophyllum	33	n	0	1	1				2	10									2				8			"HSP, MRK"	close to 7m cutoff; not mown recently
afb104	14-Dec-17	8:48	aafb	Casuarina	26.5	n	1	1				1	3	13			1			1							8		3	HSP	Ficus was prolixa; UNID was Premna look-alike
afb106	14-Dec-17	9:05	aafb	Vitex	43	n	0	0					0	0																HSP	nothing found
afb108	14-Dec-17	9:00	aafb	Vitex	29	n	1	1				1	0	0																HSP	heavy mowing
afb109	19-Nov-17		aafb	Calophyllum	60	y	0	2	1			1	0	0																"HSP, MRK"	"a bunch of baby Calophyllum under parent tree, did not count; randomly chose the tree close to the school"
afb110	14-Dec-17	10:32	aafb	Casuarina	37	n	1	2	1			1	5	8		1	2			3					1		1			HSP	"1 tinctoria, 1 prolixa"
afb111	8-Nov-17		aafb	Casuarina	74	n	0	3	1	1		1	1	2						2										"HSP, MKK"	
afb112	8-Nov-17		aafb	Casuarina	55	n	0	2	1			1	4	9		1	1			4			3							"HSP, MKK"	"there was also an ornamental palm growing from base; 2 Casuarinas, but basically fused together so included all seedlings found"
afb113	8-Nov-17		aafb	Delonix	47	y	0	2	1			1	3	5			3			1							1			"HSP, MKK"	"BLDR in tree; next to Casuarina, randomly chose Delonix"
afb114	8-Nov-17		aafb	Casuarina	86	n	0	2	1			1	4	9			1			3			4				1			"HSP, MKK"	"Vitex and Morinda are very large; UNID3 also seen at AFB118, opposite serrated leaves, probably shrub, not tree"
afb116	8-Nov-17		aafb	Casuarina	78	n	0	2	1			1	3	23		1	1			19			1					1		"HSP, MKK"	lots of tiny Morinda; mowed right up to tree base
afb118	8-Nov-17		aafb	Casuarina	84	n	1	1				1	2	6						5			1							"HSP, MKK"	"adult MIST seen in tree; a couple of big Morinda and one big Premna probably shaded out other seedlings; one large Papaya under crown, but outside 1m radius; tiny UNID3 seedling seen, maybe Premna? UNID4 may be Rivina, woody reddish stem, serrated leaf edges, alternate leaves"
afb119	8-Nov-17		aafb	Casuarina	56.5	n	0	3	1	1		1	1	6						6										"HSP, MKK"	lots of tiny Fabaceae seedlings; vines in canopy
afb120	8-Nov-17		aafb	Casuarina	80	n	1	2	1			1	4	17			2	1	1	13										"HSP, MKK"	"1 MIST was in tree directly next to focal tree; Ficus could be microcarpa, many very small Morinda seedlings"
afb121	8-Nov-17		aafb	Casuarina	40	y	0	2	1			1	4	8			2	1		3			2							"HSP, MKK"	"two trees together, chose 2nd one (double-trunked); one unknown species, but turned out to be tiny Premna!; lots of small seedlings in rock pile nearby but not close enough to count; second tree was loaded with seedlings, did not count; vines in canopy"
afb128	26-Nov-17	16:50	aafb	Calophyllum	78.5	n	0	1				1	2	2				1									1			"HSP, MRK"	not mown recently
afb129	26-Nov-17	16:45	aafb	Casuarina	61	y	0	2	1			1	2	8		7	1													"HSP, MRK"	picked 1st one (closest to Ponape)
afb13	5-Nov-17		aafb	Casuarina	51	n	0	3	1		1	1	2	5		4			1											"HSP, MRK"	
afb132	26-Nov-17	17:17	aafb	Calophyllum	80.5	n	1	0					1	1													1			"HSP, MRK"	not mown recently
afb133	26-Nov-17	17:24	aafb	Vitex	27	n	1	1				1	3	25				14	9	2										"HSP, MRK"	
afb134	26-Nov-17	17:29	aafb	Vitex	30	n	2	1				1	1	6				6												"HSP, MRK"	
afb135	14-Dec-17	8:45	aafb	Vitex	53.5	n	2	1				1	1	1					1											HSP	
afb138	26-Nov-17	17:36	aafb	Calophyllum	27	n	1	1				1	5	80				27	21	4			2				26			"HSP, MRK"	by playground off Palau Loop; close to 7m cutoff
afb139	14-Dec-17	8:56	aafb	Calophyllum	32.5	n	0	1				1	3	40					1	3							36			HSP	
afb14	8-Nov-17		aafb	Casuarina	65.5	y	0	2	1		3	1	4	15	1					8		1	1	1						"HSP, MKK"	we chose one tree (southernmost) - farthest from Andersen suites; vines in canopy; UNID1 could be Tabernaemontana? But not latex…Meg has pictures; UNID2 could be Streblus? Very small
afb143	14-Dec-17	9:29	aafb	Casuarina	48.5	y	0	2	1			1	0	0																HSP	vines in canopy; chose live one of 2
afb146	14-Dec-17	9:36	aafb	Casuarina	104	n	0	2	1			1	1	1						1										HSP	
afb147	14-Dec-17	9:34	aafb	Casuarina	70	y	0	2	1			1	1	2						2										HSP	chose southernmost of three trees
afb148	14-Dec-17	9:38	aafb	Casuarina	102	y	0	2	1			1	2	2			1			1										HSP	chose southernmost tree; Ficus was prolixa
afb149	14-Dec-17	9:44	aafb	Casuarina	75.5	n	0	2	1			1	1	2						2										HSP	
afb15	5-Nov-17		aafb	Casuarina	50.5	n	0	2	1			1	0	0																"HSP, MRK"	
afb152	26-Nov-17	15:43	aafb	Casuarina	43.5	y	0	2	1			1	0	0																"HSP, MRK"	
afb156	26-Nov-17	15:49	aafb	Casuarina	39	n	2	2	1			1	3	6					1	4			1							"HSP, MRK"	
afb157	26-Nov-17	16:00	aafb	Casuarina	37.5	n	0	2	1			1	3	10				2		6							2			"HSP, MRK"	
afb158	26-Nov-17	15:56	aafb	Casuarina	38.5	y	0	1				1	0	0																"HSP, MRK"	picked one in row of 10-15
afb16	5-Nov-17		aafb	Casuarina	28.5	n	1	2	1			1	0	0																"HSP, MRK"	
afb161	26-Nov-17	16:09	aafb	Casuarina	50.5	y	0	1				1	1	4						4										"HSP, MRK"	picked 2nd of 4 Casuarina
afb162	26-Nov-17	16:16	aafb	Casuarina	67.5	y	0	1				1	0	0																"HSP, MRK"	picked middle of 3 Casuarina
afb163	26-Nov-17	16:14	aafb	Casuarina	75	y	0	0					0	0																"HSP, MRK"	nothing present; picked 4th of 6 Casuarina
afb164	26-Nov-17	16:11	aafb	Casuarina	63	y	0	2	1			1	1	3						3										"HSP, MRK"	picked middle of 3 Casuarina
afb167	26-Nov-17	16:23	aafb	Casuarina	19	n	0	1				1	3	5			1			3						1				"HSP, MRK"	Casuarina wrapped in huge Ficus
afb169	26-Nov-17	16:29	aafb	Casuarina	49	n	0	2	1			1	0	0																"HSP, MRK"	all vegetation hacked away
afb170	26-Nov-17	16:20	aafb	Casuarina	84	y	2	1				1	1	2					2											"HSP, MRK"	15 Casuarina in L shape; picked 4 of 6 parallel to Paradise Dr going west
afb171	26-Nov-17	16:33	aafb	Casuarina	27	y	0	1				1	1	1			1													"HSP, MRK"	picked middle of 3 Casuarina
afb174	26-Nov-17	16:38	aafb	Casuarina	59.5	y	8	1				1	1	1									1							"HSP, MRK"	MIST nest in shutters right next to tree; picked tree farthest from house of the 2
afb176	14-Dec-17	9:56	aafb	Casuarina	37	n	0	1	1				0	0																HSP	heavy mowing
afb177	14-Dec-17	9:53	aafb	Vitex	22	n	0	1				1	1	3						3										HSP	
afb179	14-Dec-17	10:00	aafb	Casuarina	96	n	0	1	1				1	3						3										HSP	
afb18	5-Nov-17		aafb	Casuarina	69	n	1	3	1		1	1	3	4		1	1		2											HSP	
afb184	14-Dec-17	10:06	aafb	Casuarina	40	n	0	2	1			1	2	3			1			2										HSP	large Ficus prolixa
afb185	26-Nov-17	15:37	aafb	Casuarina	41	n	1	2	1			1	3	4			1			2							1			"HSP, MRK"	
